Input Virtual Memory address in decimal   Output Physical Memory address in decimal
9123                  48163
7491                  6211
62616                  280
15436                  31820
17491                  41043
53656                  792
26449                  24401
34935                  26743
19864                  36376
51388                  32572
15155                  32307
64775                  2055
47969                  25697
16315                  55867
1342                  51518
51185                  42865
6043                  9243
21398                  8982
3273                  40265
9370                  22810
35463                  56071
28205                  34861
2351                  4655
28999                  16455
47699                  56403
46870                  19734
22311                  11303
22124                  56684
22427                  11291
49344                  8512
23224                  35896
5514                  21514
20504                  56856
376                  57208
2014                  33118
38700                  46892
13098                  44330
62435                  23907
48046                  25646
63464                  17000
12798                  31102
51178                  42858
8627                  20019
27083                  26955
47198                  29790
44021                  57461
32792                  4120
43996                  57436
41126                  8742
64244                  4468
37047                  18231
60281                  57721
52904                  47656
7768                  57944
55359                  58175
3230                  40222
44813                  13069
4116                  50708
65222                  48454
28083                  3379
60660                  7284
39                  58407
328                  57160
47868                  56444
13009                  30289
22378                  11370
39304                  55560
11171                  39971
8079                  33807
52879                  47631
5123                  15107
4356                  58628
45745                  7729
32952                  4152
4657                  27697
24142                  33614
23319                  20503
13607                  53031
46304                  50016
17677                  9741
59691                  47403
50967                  42775
7817                  57865
8545                  20065
55297                  58113
52954                  47706
39720                  38184
18455                  5399
30349                  58893
63270                  16934
27156                  28692
20614                  56838
19372                  14124
48689                  32817
49386                  8554
50584                  18456
51936                  27232
34705                  17937
13653                  53077
50077                  59165
54518                  19318
41482                  41738
4169                  50761
36118                  54550
9584                  59504
18490                  5434
55420                  58236
5708                  52044
23506                  20562
15391                  31775
36368                  14352
38976                  3904
50406                  13926
49236                  8532
65035                  48395
30120                  552
62551                  343
46809                  55385
21687                  52279
53839                  54095
2098                  35122
12364                  45132
45366                  45878
50437                  18437
36675                  35651
55382                  58198
11846                  59718
49127                  50535
19900                  36412
20554                  56906
19219                  14099
51483                  15899
58090                  3178
39074                  3874
16060                  21052
10447                  14671
54169                  51737
20634                  56858
57555                  37971
61210                  42266
269                  57101
33154                  53506
64487                  4967
61223                  42279
47292                  29756
21852                  24156
5281                  15137
45912                  51032
32532                  9492
63067                  22107
41683                  41811
20981                  39029
33881                  42073
41785                  38713
4580                  58724
41389                  24877
28572                  27932
782                  7950
30273                  58945
62267                  23867
17922                  18690
63238                  16902
3308                  40300
26545                  24369
44395                  44907
39120                  3920
21706                  52298
7144                  26472
30244                  58916
3725                  9997
54632                  48744
30574                  16238
8473                  19993
12386                  45154
41114                  8730
57930                  3146
15341                  32365
15598                  31854
59922                  10514
18226                  2354
48162                  17698
41250                  24866
1512                  51560
2546                  4722
41682                  41810
322                  57154
880                  8048
20891                  38939
56604                  13340
40166                  1126
26791                  42535
44560                  11024
38698                  46890
64127                  4479
15028                  24628
38669                  46861
45637                  7749
43151                  17423
9465                  22905
2498                  4674
13978                  31258
16326                  55878
51442                  32626
34845                  26653
63667                  28211
39370                  55626
55671                  60023
64496                  4976
7767                  57943
6283                  7435
55884                  34636
61103                  5935
10184                  60232
39543                  43383
9555                  59475
13963                  31243
58975                  14943
19537                  22609
6101                  9301
41421                  24909
45502                  45886
29328                  36880
8149                  33877
25450                  60522
58944                  14912
50666                  18538
23084                  35884
36468                  14452
33645                  60781
25002                  52522
53715                  851
60173                  57613
46354                  50194
4708                  27748
28208                  34864
58844                  55132
22173                  56605
8535                  20055
42261                  10773
29687                  49527
37799                  29223
22566                  2854
62520                  312
4098                  50690
47999                  25727
49660                  45436
37063                  18247
41856                  38656
5417                  21545
48856                  32856
10682                  27450
22370                  11362
63281                  16945
62452                  23924
50532                  18532
9022                  48190
59300                  10276
58660                  55076
56401                  51281
8518                  20038
63066                  22106
63250                  16914
48592                  1872
28771                  1379
37673                  29225
60776                  23656
56438                  51318
60424                  7176
39993                  1081
56004                  34628
59002                  14970
33982                  42046
25498                  60442
57047                  37463
1401                  51577
15130                  32282
42960                  19536
61827                  22275
32442                  6970
64304                  4912
30273                  58945
38082                  37186
22404                  11268
3808                  10080
16883                  47987
23111                  35911
62417                  23889
60364                  57676
4542                  58686
14829                  33389
44964                  13092
33924                  41988
2141                  35165
19245                  14125
47168                  29760
24048                  39536
1022                  8062
23075                  35875
24888                  52536
49247                  8543
4900                  13604
22656                  2816
34117                  60997
55555                  59907
48947                  50483
59533                  25869
21312                  9024
21415                  8999
813                  7981
19419                  14171
1999                  33103
20155                  40507
21521                  52241
13670                  53094
19289                  14169
58483                  15475
41318                  24934
16151                  55831
13611                  53035
21514                  52234
13499                  36155
45583                  7695
49013                  50549
64843                  2123
63485                  17021
38697                  46889
59188                  10292
24593                  38417
57641                  61225
36524                  14380
56980                  37396
36810                  35658
6096                  9296
11070                  39998
60124                  10588
37576                  21320
15096                  24696
45247                  48959
32783                  4111
58390                  15382
60873                  23625
23719                  54823
24385                  1601
22307                  11299
17375                  61535
15990                  21110
20526                  56878
25904                  36656
42224                  46192
9311                  22879
7862                  57910
3835                  10107
30535                  16199
65179                  48411
57387                  37931
63579                  28251
4946                  13650
9037                  48205
61033                  5993
55543                  58231
50361                  13881
6480                  29008
14042                  31322
21531                  52251
39195                  55579
37511                  21255
23696                  54800
27440                  15664
28201                  34857
23072                  35872
7814                  57862
6552                  28952
43637                  12661
35113                  39721
34890                  26698
61297                  42353
45633                  7745
61431                  42359
46032                  51024
18774                  61782
62991                  22031
28059                  3355
35229                  39709
51230                  32542
14405                  5701
52242                  46610
43153                  17425
2709                  53781
47963                  25691
36943                  18255
54066                  51762
10054                  60230
43051                  17451
11525                  41477
17684                  9748
41681                  41809
27883                  44139
56909                  37453
45772                  7756
27496                  15720
46842                  55418
38734                  46926
28972                  16428
59684                  47396
11384                  54392
21018                  37658
2192                  35088
18384                  2384
13464                  36120
31018                  61994
62958                  28526
30611                  16147
1913                  33145
18904                  61784
26773                  42517
55491                  58179
21899                  24075
64413                  4893
47134                  29726
23172                  35844
7262                  43102
12705                  31009
7522                  6242
58815                  55103
34916                  26724
3802                  10074
58008                  3096
1239                  40791
63947                  21835
381                  57213
60734                  23614
48769                  32769
41938                  38738
38025                  37129
55099                  5179
56691                  13427
39530                  43370
59003                  14971
6029                  9229
20920                  38968
8077                  33805
42633                  20745
17443                  40995
53570                  834
22833                  52785
3782                  10054
47758                  56334
22136                  56696
22427                  11291
23867                  39483
59968                  10560
62166                  62294
6972                  26428
63684                  28228
46388                  50228
41942                  38742
36524                  14380
9323                  22891
31114                  61962
22345                  11337
46463                  50303
54671                  48655
9214                  48254
7257                  43097
33150                  53630
41565                  41821
26214                  49254
3595                  9995
17932                  18700
34660                  18020
51961                  27257
58634                  55050
57990                  3078
28848                  1328
49920                  59136
18351                  2351
53669                  805
33996                  42060
6741                  6741
64098                  4450
606                  17246
27383                  28791
63140                  22052
32228                  49764
63437                  16973
29085                  16413
65080                  48440
38753                  46945
16041                  21033
9041                  48209
42090                  46186
46388                  50228
63650                  28194
36636                  35612
21947                  24123
19833                  36473
36464                  14448
8541                  20061
12712                  31016
48955                  50491
39206                  55590
15578                  31834
49205                  8501
7731                  57907
43046                  17446
60498                  7250
9237                  22805
47706                  56410
43973                  57413
42008                  46104
27460                  15684
24999                  52519
51933                  27229
34070                  60950
65155                  48387
59955                  10547
9277                  22845
20420                  16708
44860                  13116
50992                  42800
10583                  27479
57751                  61207
23195                  35867
27227                  28763
42816                  19520
58219                  34155
37606                  21350
18426                  2426
21238                  37750
11983                  59727
48394                  1802
11036                  39964
30557                  16221
23453                  20509
49847                  31543
30032                  592
48065                  25665
6957                  26413
2301                  35197
7736                  57912
31260                  23324
17071                  47
8940                  46444
9929                  44617
45563                  45947
12107                  2635
